"平成２８年　４月　１日から平成２９年　２月　２日まで"
"入札日","執行課名","事業担当課","工事番号","工事名","工事場所　","契約業者名","予定価格","最低制限価格若しくは調査基準価格","落札価格","応札業者数","入札形式"
"20170131","伊都振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　地すべり　第８号－５","地すべり対策事業　吉原田原地区　B4ブロック舗装工事","橋本市吉原地内","境和技建有限会社","7269480.0","6790716.0","6795036.0","20","一般競争入札"
"20170130","東牟婁振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　防ダム　第１号－３","小匠ダム点検歩廊架設工事","東牟婁郡那智勝浦町小匠地内","株式会社松原組","1.62162E7","1.4167152E7","1.44504E7","2","一般競争入札"
"20170118","有田振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　和果試　第１号－１","果樹試験場　排水路付帯工事","有田郡有田川町奥地内","林建設","393120.0","346647.0","356400.0","2","一般競争入札"
"20170112","日高振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　整促　第４号－１","若野１期地区 若野頭首工施設更新その１工事","日高郡日高川町若野地内","三洋建設株式会社","3.592296E7","3.5384132E7","3.592296E7","3","一般競争入札（総合評価）"
"20170112","日高振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　地すべり　第９号－２","晩稲熊岡地区地すべり対策その８工事","日高郡みなべ町晩稲、熊岡地内","杉谷産業株式会社","9.172224E7","8.4817413E7","8.52012E7","17","一般競争入札（総合評価）"
"20170112","日高振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　基水　第７号－１","名田２期地区送水施設更新その３工事","御坊市塩屋町北塩屋地内","株式会社小林建設","4.795524E7","4.4210625E7","4.423896E7","15","一般競争入札（総合評価）"
"20170112","日高振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　基水　第７号－２","名田２期地区送水施設更新その４工事","御坊市塩屋町南塩屋地内","株式会社小池組","5.18616E7","4.7647716E7","4.785696E7","16","一般競争入札（総合評価）"
"20170111","日高振興局農林水産振興部","森林・林業局 森林整備課","平成２８年度　県防　第９号","県土防災対策治山事業","日高郡日高川町大字船津字畑山　地内","パシフィックマリン株式会社","367200.0","325605.0","366465.0","1","一般競争入札"
"20170111","日高振興局農林水産振興部","森林・林業局 森林整備課","平成２８年度　県防　第２７号","県土防災対策治山事業","日高郡印南町大字島田字浪際　地内","株式会社安村商店","2680560.0","2403810.0","2526660.0","4","一般競争入札"
"20170110","日高振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　ため池等　第３４号－２","横垣大池地区工事用道路その２工事","日高郡日高川町入野地内","有限会社稲垣","2.60226E7","2.328985E7","2.33226E7","30","一般競争入札"
"20161226","農林水産政策局 農業農村整備課","農林水産政策局 農業農村整備課","平成２８年度　ため調　第１号－１","ため池調査事業　農業用ため池耐震性照査業務","橋本市清水字平谷地内、有田郡広川町下津木字丸山中地内","基礎地盤コンサルタンツ株式会社和歌山事務所","1.89432E7","1.4950475E7","1.566E7","2","一般競争入札（総合評価）"
"20161220","那賀振興局農林水産振興部","森林・林業局 森林整備課","平成２８年度　緑花センタ　第１号－２","和歌山県植物公園緑花センター敷地改修等工事","岩出市東坂本外地内","康建設","3852360.0","3448449.0","3479997.0","3","一般競争入札"
"20161219","西牟婁振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　ため池等　第４３号－５３","才野地区・硲裏池地区物件調査業務","西牟婁郡白浜町才野地内","株式会社近畿コンサルタント","4892400.0","3764344.0","3783936.0","21","一般競争入札"
"20161219","西牟婁振興局農林水産振興部","農林水産政策局 農業農村整備課","平成２８年度　中山間防　第１号－５６","市ノ瀬地区 物件調査業務","西牟婁郡上富田町市ノ瀬地内","株式会社イ・アール・シ","6231600.0","4909800.0","4911840.0","21","一般競争入札"
